request_id,scenario_class,username,resource,action,risk_level,location,device_compliant,session_age_s,travel_velocity_kmh,zt_granted,zt_policy_id,zt_trust_score,static_rbac_granted,latency_ms
1,"Location / Travel Anomaly",nurse01,patient-records,Write,Medium,"Australia, Sydney",true,2793,1014,false,ZTP-02,20,false,7.1433
2,"Location / Travel Anomaly",recordsadmin01,patient-records,Write,Medium,"Unknown / VPN",true,1567,1211,false,ZTP-02,20,false,1.7605
3,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,1.2237
4,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,3207,0,false,ZTP-RBAC,100,false,1.1726
5,"Location / Travel Anomaly",auditor01,patient-records,Write,High,"Unknown / VPN",true,1818,1233,false,ZTP-02,0,false,1.1966
6,"Location / Travel Anomaly",officer@hmc.com,patient-records,Write,Medium,"Russia, Moscow",true,392,1136,false,ZTP-02,20,false,1.2114
7,"Off-Hours Access Attempt",recordsadmin01,admin-records,Write,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,1.7508
8,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,2817,0,false,ZTP-RBAC,100,true,2.6756
9,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,1.1586
10,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,3212,0,false,ZTP-RBAC,100,true,1.4685
11,"Location / Travel Anomaly",itsecurityadmin01,patient-records,Write,Medium,"Unknown / VPN",true,3056,1043,false,ZTP-02,20,false,0.8217
12,"Location / Travel Anomaly",vendor01,patient-records,Read,High,"Russia, Moscow",true,321,1237,false,ZTP-02,0,false,0.7286
13,"Device Non-Compliant / Session Decay",auditor01,patient-records,Read,Low,"Nigeria, Lagos",false,16992,0,false,ZTP-02,35,false,0.6935
14,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,115,0,true,ZTP-OK,100,true,1.309
15,"Device Non-Compliant / Session Decay",emergency.admin,patient-records,Write,Low,"Nigeria, Lagos",false,18590,0,false,ZTP-05,35,true,0.0345
16,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,1935,0,true,ZTP-OK,100,true,1.2208
17,"Device Non-Compliant / Session Decay",nurse01,patient-records,Write,Low,"Nigeria, Lagos",false,18941,0,false,ZTP-02,35,false,0.6329
18,"Location / Travel Anomaly",recordsadmin01,patient-records,Write,High,"Russia, Moscow",true,2629,1293,false,ZTP-02,0,false,0.6515
19,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,3,0,true,ZTP-05,45,true,0.0286
20,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,1291,0,false,ZTP-RBAC,100,true,1.5901
21,"Location / Travel Anomaly",auditor01,patient-records,Read,Medium,"Russia, Moscow",true,1137,958,false,ZTP-02,20,false,0.6688
22,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,2178,0,true,ZTP-OK,100,true,1.3356
23,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,337,0,true,ZTP-05,45,true,0.0411
24,"Location / Travel Anomaly",doctor01,patient-records,Read,Medium,"Russia, Moscow",true,960,1260,false,ZTP-02,20,true,0.6439
25,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,3307,0,false,ZTP-RBAC,100,false,0.7903
26,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.6865
27,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.7348
