request_id,scenario_class,username,resource,action,risk_level,location,device_compliant,session_age_s,travel_velocity_kmh,zt_granted,zt_policy_id,zt_trust_score,static_rbac_granted,latency_ms
1,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,18,0,true,ZTP-05,45,true,0.9067
2,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,1916,0,false,ZTP-RBAC,100,false,6.9716
3,"Off-Hours Access Attempt",recordsadmin01,admin-records,Read,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,1.3409
4,"Device Non-Compliant / Session Decay",vendor01,patient-records,Read,Low,"Nigeria, Lagos",false,17284,0,false,ZTP-02,35,false,0.9415
5,"Location / Travel Anomaly",auditor01,patient-records,Read,High,"Unknown / VPN",true,3310,1064,false,ZTP-02,0,false,0.9004
6,"Location / Travel Anomaly",officer@hmc.com,patient-records,Write,High,"Russia, Moscow",true,2732,950,false,ZTP-02,0,false,1.0162
7,"Location / Travel Anomaly",emergency.admin,patient-records,Read,Medium,"Australia, Sydney",true,1496,1267,false,ZTP-05,20,true,0.0331
8,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,1045,0,false,ZTP-05,45,true,0.0404
9,"Off-Hours Access Attempt",recordsadmin01,admin-records,Write,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.9532
10,"Device Non-Compliant / Session Decay",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",false,18660,0,false,ZTP-02,35,false,0.9962
11,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,3022,0,false,ZTP-RBAC,100,false,0.9718
12,"Location / Travel Anomaly",vendor01,patient-records,Read,High,"Russia, Moscow",true,3091,964,false,ZTP-02,0,false,0.984
13,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,2805,0,false,ZTP-05,45,true,0.0478
14,"Location / Travel Anomaly",officer@hmc.com,patient-records,Write,Medium,"Unknown / VPN",true,83,1227,false,ZTP-02,20,false,0.7899
15,"Location / Travel Anomaly",emergency.admin,patient-records,Read,Medium,"Russia, Moscow",true,2792,1139,false,ZTP-05,20,true,0.0242
16,"Location / Travel Anomaly",doctor01,patient-records,Read,High,"Australia, Sydney",true,1192,1167,false,ZTP-02,0,true,0.9781
17,"Lateral Access Attempt",recordsadmin01,patient-records,Read,Low,"Nigeria, Lagos",true,3318,0,false,ZTP-RBAC,100,false,1.7191
18,"Location / Travel Anomaly",recordsadmin01,patient-records,Read,High,"Russia, Moscow",true,3005,1173,false,ZTP-02,0,false,1.5499
19,"Authorized Clinical Access",doctor01,patient-records,Read,Low,"Nigeria, Lagos",true,1843,0,true,ZTP-OK,100,true,2.0124
20,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,3368,0,false,ZTP-RBAC,100,false,0.8875
21,"Location / Travel Anomaly",auditor01,patient-records,Read,High,"Russia, Moscow",true,86,1253,false,ZTP-02,0,false,0.6491
22,"Location / Travel Anomaly",officer@hmc.com,patient-records,Read,High,"Australia, Sydney",true,3490,1094,false,ZTP-02,0,false,0.7033
23,"Device Non-Compliant / Session Decay",emergency.admin,patient-records,Write,Low,"Nigeria, Lagos",false,19224,0,false,ZTP-05,35,true,0.0528
24,"Location / Travel Anomaly",doctor01,patient-records,Read,Medium,"Russia, Moscow",true,2483,1282,false,ZTP-02,20,true,0.8056
25,"Off-Hours Access Attempt",recordsadmin01,admin-records,Write,Low,"Nigeria, Lagos",true,7500,0,true,ZTP-OK,65,true,0.7784
26,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,1419,0,false,ZTP-RBAC,100,true,3.7469
27,"Location / Travel Anomaly",itsecurityadmin01,patient-records,Read,High,"Russia, Moscow",true,2180,1195,false,ZTP-02,0,false,0.8453
28,"Location / Travel Anomaly",vendor01,patient-records,Write,Medium,"Australia, Sydney",true,3489,1081,false,ZTP-02,20,false,0.9339
29,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,331,0,true,ZTP-OK,100,true,1.9027
30,"Emergency Break-Glass Override",emergency.admin,patient-records,Write,High,"Nigeria, Lagos",true,3094,0,false,ZTP-05,45,true,0.0569
31,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,945,0,true,ZTP-OK,100,true,2.2468
32,"Lateral Access Attempt",vendor01,patient-records,Read,Low,"Nigeria, Lagos",true,2692,0,false,ZTP-RBAC,100,false,1.0094
33,"Authorized Clinical Access",nurse01,patient-records,Read,Low,"Nigeria, Lagos",true,1463,0,false,ZTP-RBAC,100,true,1.772
34,"Authorized Clinical Access",doctor01,patient-records,Write,Low,"Nigeria, Lagos",true,3056,0,true,ZTP-OK,100,true,1.7245
35,"Device Non-Compliant / Session Decay",itsecurityadmin01,patient-records,Read,Low,"Nigeria, Lagos",false,18155,0,false,ZTP-02,35,false,0.875
36,"Location / Travel Anomaly",vendor01,patient-records,Write,Medium,"Russia, Moscow",true,322,1249,false,ZTP-02,20,false,0.7692
